"","survey_unique","station","date","year","month","day","forest","total.g.per.m2","ripe.g.per.m2","dipt.g.per.m2","ripe.dipt.g.per.m2","fagaceae.g.per.m2","euphorb.g.per.m2","nondipt.g.per.m2","ripe.nondipt.g.per.m2"
"60","AG20_6","AG20",2014-06-21,2014,6,21,"Danum",0,0,0,0,0,0,0,0
"61","AG21_6","AG21",2014-06-20,2014,6,20,"Danum",0.002129777,0,0,0,0,0,0.002129777,0
"62","AG22_6","AG22",2014-06-18,2014,6,18,"Danum",0,0,0,0,0,0,0,0
"63","AG23_6","AG23",2014-07-17,2014,7,17,"Malua",0.374916799,0.363461783,0,0,0,0.347432325,0.374916799,0.363461783
"64","AG24_6","AG24",2014-06-26,2014,6,26,"Malua",0.620282643,0.283041401,0.234852707,0,0,0.385429936,0.385429936,0.283041401
"65","AG25_6","AG25",2014-06-25,2014,6,25,"Malua",0.410282146,0,0.143550955,0,0.004378981,0,0.266731191,0
"66","AG26_6","AG26",2014-06-25,2014,6,25,"Malua",0,0,0,0,0,0,0,0
"67","AG27_6","AG27",2014-06-18,2014,6,18,"Malua",0.014397558,0,0,0,0,0.00477707,0.014397558,0
"68","AG28_6","AG28",2014-06-26,2014,6,26,"Malua",0.081210191,0,0,0,0,0,0.081210191,0
"69","AG29_6","AG29",2014-07-19,2014,7,19,"Malua",0.019562102,0,0,0,0,0.019562102,0.019562102,0
"70","AG30_6","AG30",2014-06-25,2014,6,25,"Malua",0.260363588,0,0,0,0,0.103503185,0.260363588,0
"71","AG31_6","AG31",2014-06-25,2014,6,25,"Malua",0.235485669,0.07205414,0.073845541,0.035230892,0,0,0.161640128,0.036823248
"72","AG32_6","AG32",2014-07-16,2014,7,16,"Malua",0.085522525,0.025483015,0,0,0,0.012686803,0.085522525,0.025483015
"73","AG33_6","AG33",2014-06-27,2014,6,27,"Malua",0.142515924,0,0,0,0,0.142515924,0.142515924,0
"74","AG34_6","AG34",2014-06-29,2014,6,29,"Malua",0.083359873,0,0,0,0,0.038375796,0.083359873,0
"75","AG35_6","AG35",2014-06-24,2014,6,24,"Malua",0,0,0,0,0,0,0,0
"76","AG36_6","AG36",2014-07-19,2014,7,19,"Malua",8.897662221,0,3.815092556,0,0,0,5.082569665,0
"77","AG37_6","AG37",2014-07-18,2014,7,18,"Malua",0.041278861,0,0,0,0,0.040259753,0.041278861,0
"78","AG38_6","AG38",2014-07-18,2014,7,18,"Malua",0.056414411,0.006870223,0,0,0,0.006870223,0.056414411,0.006870223
"79","AG39_6","AG39",2014-07-18,2014,7,18,"Malua",4.540106091,0,0,0,0,4.458609275,4.540106091,0
"80","AG40_6","AG40",2014-07-20,2014,7,20,"Malua",0,0,0,0,0,0,0,0
"81","AG41_6","AG41",2014-07-20,2014,7,20,"Malua",2.865768179,0,0,0,0,0,2.865768179,0
"82","AG42_6","AG42",2014-07-16,2014,7,16,"Malua",0.02026871,0,0,0,0,0,0.02026871,0
"83","AG43_6","AG43",2014-06-14,2014,6,14,"Danum",0.320147293,0,0,0,0,0.013077229,0.320147293,0
"84","AG44_6","AG44",2014-07-30,2014,7,30,"Danum",2.388141919,0.004359076,0.356533639,0,0,0.003025478,2.03160828,0.004359076
"85","AG01_7","AG01",2014-07-22,2014,7,22,"Danum",0.806821258,0.696480892,0.739751194,0.638248408,0,0,0.067070064,0.0582324839999999
"86","AG02_7","AG02",2014-07-24,2014,7,24,"Danum",0.256929538,0.178804538,0.166572452,0.115525478,0,0.022372611,0.090357086,0.06327906
"87","AG03_7","AG03",2014-07-20,2014,7,20,"Danum",0.462695561,0.462695561,0,0,0,0,0.462695561,0.462695561
"88","AG04_7","AG04",2014-07-11,2014,7,11,"Danum",0,0,0,0,0,0,0,0
"89","AG05_7","AG05",2014-07-13,2014,7,13,"Danum",14.3924164,14.38990844,0,0,0,0,14.3924164,14.38990844
"90","AG06_7","AG06",2014-07-10,2014,7,10,"Danum",0.53870621,0.129311306,0.341142516,0,0,0.011186306,0.197563694,0.129311306
"91","AG07_7","AG07",2014-07-07,2014,7,7,"Danum",0.047499469,0,0,0,0,0.007583599,0.047499469,0
"92","AG08_7","AG08",2014-07-04,2014,7,4,"Danum",0.850440287,0,0.752944268,0,0,0,0.0974960189999999,0
"93","AG09_7","AG09",2014-07-17,2014,7,17,"Danum",0.224377654,0.002089968,0.184156051,0,0,0.002089968,0.040221603,0.002089968
"94","AG10_7","AG10",2014-07-19,2014,7,19,"Danum",0.241273885,0.12758758,0.133196656,0.12758758,0,0,0.108077229,0
"95","AG11_7","AG11",2014-07-19,2014,7,19,"Danum",1.113400677,1.020546377,0.975383161,0.899606887,0,0,0.138017516,0.12093949
"96","AG13_7","AG13",2014-07-09,2014,7,9,"Danum",1.418846868,0,0.019735271,0,0,0.005119427,1.399111597,0
"97","AG14_7","AG14",2014-07-04,2014,7,4,"Danum",0.806278198,0.482464172,0.119785032,0,0.011007166,0.476431131,0.686493166,0.482464172
"98","AG15_7","AG15",2014-07-15,2014,7,15,"Danum",3.01132431,2.592963774,0.007643312,0.003941083,0,0.101015127,3.003680998,2.589022691
"99","AG16_7","AG16",2014-07-11,2014,7,11,"Danum",0.080613057,0.003781847,0,0,0.02352707,0,0.080613057,0.003781847
"100","AG17_7","AG17",2014-07-06,2014,7,6,"Danum",5.224808917,0.074858678,5.144408838,0,0,0.067593551,0.0804000789999995,0.074858678
"101","AG19_7","AG19",2014-07-15,2014,7,15,"Danum",0.37556396,0.268497877,0.298274947,0.268497877,0,0.074044586,0.077289013,0
"102","AG20_7","AG20",2014-07-09,2014,7,9,"Danum",0.016267251,0,0,0,0,0,0.016267251,0
"103","AG21_7","AG21",2014-07-09,2014,7,9,"Danum",0.05933121,0,0,0,0,0,0.05933121,0
"104","AG22_7","AG22",2014-07-09,2014,7,9,"Danum",0.785111465,0,0,0,0,0,0.785111465,0
"105","AG23_7","AG23",2014-08-10,2014,8,10,"Malua",0.509124867,0.361232749,0,0,0.001691879,0.231356157,0.509124867,0.361232749
"106","AG24_7","AG24",2014-07-17,2014,7,17,"Malua",0.273198978,0.108708201,0.00754379,0.00754379,0,0.211045316,0.265655188,0.101164411
"107","AG25_7","AG25",2014-07-16,2014,7,16,"Malua",0.218027468,0.008121019,0.20316879,0,0,0.008121019,0.014858678,0.008121019
"108","AG26_7","AG26",2014-07-17,2014,7,17,"Malua",0.000248806,0,0,0,0,0.000248806,0.000248806,0
"109","AG27_7","AG27",2014-07-17,2014,7,17,"Malua",0.79102216,0.694698779,0,0,0,0,0.79102216,0.694698779
"110","AG28_7","AG28",2014-07-19,2014,7,19,"Malua",0.145572253,0.098478304,0,0,0,0,0.145572253,0.098478304
"111","AG29_7","AG29",2014-08-09,2014,8,9,"Malua",0.073905613,0.071307723,0.071307723,0.071307723,0,0.00259789,0.00259788999999999,0
"112","AG30_7","AG30",2014-06-28,2014,6,28,"Malua",0.016062898,0,0.016062898,0,0,0,0,0
"113","AG31_7","AG31",2014-07-15,2014,7,15,"Malua",4.855166401,4.434386943,0.274952229,0,0,4.343341959,4.580214172,4.434386943
"114","AG32_7","AG32",2014-08-09,2014,8,9,"Malua",0.513162534,0.032867948,0,0,0,0.348612375,0.513162534,0.032867948
"115","AG33_7","AG33",2014-07-16,2014,7,16,"Malua",0.093206608,0,0,0,0,0,0.093206608,0
"116","AG34_7","AG34",2014-07-16,2014,7,16,"Malua",0.197016653,0.019311306,0.019311306,0.019311306,0,0,0.177705347,0
"117","AG35_7","AG35",2014-07-18,2014,7,18,"Malua",0.059773089,0,0,0,0,0.001015127,0.059773089,0
"118","AG36_7","AG36",2014-08-12,2014,8,12,"Malua",4.17187699,0.790386146,0.80504578,0.790386146,0,0.001194268,3.36683121,0
"119","AG37_7","AG37",2014-08-13,2014,8,13,"Malua",0.060545382,0.029410828,0,0,0,0.039936306,0.060545382,0.029410828
"120","AG38_7","AG38",2014-08-13,2014,8,13,"Malua",0.152213376,0.037778662,0,0,0.019307325,0,0.152213376,0.037778662
"121","AG39_7","AG39",2014-08-13,2014,8,13,"Malua",0.064635748,0.062523885,0,0,0,0.062882166,0.064635748,0.062523885
"122","AG40_7","AG40",2014-08-11,2014,8,11,"Malua",0.025646895,0,0,0,0,0,0.025646895,0
"123","AG41_7","AG41",2014-08-11,2014,8,11,"Malua",0.186958267,0.104114252,0,0,0,0,0.186958267,0.104114252
"124","AG42_7","AG42",2014-08-09,2014,8,9,"Malua",0.164677548,0.006616242,0,0,0,0.006616242,0.164677548,0.006616242
"125","AG43_7","AG43",2014-07-12,2014,7,12,"Danum",1.96415207,1.323188694,0,0,0.015465764,0.114410828,1.96415207,1.323188694
"126","AG44_7","AG44",2014-08-23,2014,8,23,"Danum",0.091490844,0,0,0,0,0,0.091490844,0
"127","AG01_8","AG01",2014-08-07,2014,8,7,"Danum",77.49754877,2.29721039,3.472867237,2.29721039,0,0,74.024681533,0
"128","AG02_8","AG02",2014-08-08,2014,8,8,"Danum",10.09115645,9.500816083,10.06319068,9.489032643,0,0,0.0279657699999998,0.0117834400000003
"129","AG03_8","AG03",2014-08-07,2014,8,7,"Danum",11.46836518,11.34703424,0,0,0,0,11.46836518,11.34703424
"130","AG04_8","AG04",2014-07-26,2014,7,26,"Danum",0,0,0,0,0,0,0,0
"131","AG05_8","AG05",2014-07-31,2014,7,31,"Danum",6.266480892,6.184852707,0.013375796,0,0,0.000855892,6.253105096,6.184852707
"132","AG06_8","AG06",2014-07-28,2014,7,28,"Danum",0.158459395,0,0.085589172,0,0,0.04044586,0.072870223,0
"133","AG07_8","AG07",2014-07-22,2014,7,22,"Danum",0.16616242,0.066178344,0.011345541,0,0,0,0.154816879,0.066178344
"134","AG08_8","AG08",2014-07-21,2014,7,21,"Danum",8.31082703,4.612897094,7.197153662,4.149980096,0,0,1.113673368,0.462916998
"135","AG09_8","AG09",2014-08-03,2014,8,3,"Danum",4.185212646,1.807939225,3.931039344,1.640940817,0,0.07464172,0.254173302,0.166998408
"136","AG10_8","AG10",2014-08-04,2014,8,4,"Danum",0.03308121,0,0.003960987,0,0,0,0.029120223,0
"137","AG11_8","AG11",2014-08-03,2014,8,3,"Danum",1.281668325,0.48568405,1.056195263,0.28638535,0,0.044038615,0.225473062,0.1992987
"138","AG13_8","AG13",2014-07-27,2014,7,27,"Danum",2.737315685,2.521015127,0.030960191,0.00919586,0.015565287,0,2.706355494,2.511819267
"139","AG14_8","AG14",2014-07-21,2014,7,21,"Danum",1.630747744,1.214416799,0.265843949,0.205533439,0,0.41005905,1.364903795,1.00888336
"140","AG15_8","AG15",2014-08-05,2014,8,5,"Danum",3.911970541,3.38772492,0.308641521,0.302986664,0,3.084320263,3.60332902,3.084738256
"141","AG16_8","AG16",2014-07-26,2014,7,26,"Danum",0.222431827,0.126401274,0.063941083,0.063941083,0,0,0.158490744,0.062460191
"142","AG17_8","AG17",2014-07-24,2014,7,24,"Danum",20.11221736,16.57585987,20.10582404,16.56946656,0,0,0.00639331999999726,0.00639330999999999
"143","AG19_8","AG19",2014-08-01,2014,8,1,"Danum",10.40858877,0.484474522,10.33794785,0.484474522,0,0,0.0706409199999989,0
"144","AG20_8","AG20",2014-07-27,2014,7,27,"Danum",0.153861465,0.032046178,0,0,0,0.003742038,0.153861465,0.032046178
"145","AG21_8","AG21",2014-07-25,2014,7,25,"Danum",1.050313827,0.031812633,0.390739782,0.026338907,0,0.628980892,0.659574045,0.005473726
"146","AG22_8","AG22",2014-07-25,2014,7,25,"Danum",3.923315287,3.890923567,0,0,0,0.006921975,3.923315287,3.890923567
"147","AG23_8","AG23",2014-09-01,2014,9,1,"Malua",0,0,0,0,0,0,0,0
"148","AG24_8","AG24",2014-08-10,2014,8,10,"Malua",0.288481953,0.0735138,0.214968153,0,0,0.0735138,0.0735138,0.0735138
"149","AG25_8","AG25",2014-08-11,2014,8,11,"Malua",0.43392715,0.171636146,0.141232086,0.013236465,0,0,0.292695064,0.158399681
"150","AG26_8","AG26",2014-08-12,2014,8,12,"Malua",0.028204618,0.028204618,0,0,0,0.028204618,0.028204618,0.028204618
"151","AG27_8","AG27",2014-08-12,2014,8,12,"Malua",10.98561677,0.029174363,1.354000796,0,0,0.029174363,9.631615974,0.029174363
"152","AG28_8","AG28",2014-08-09,2014,8,9,"Malua",0.180792197,0.065969347,0.013335987,0.013335987,0,0,0.16745621,0.05263336
"153","AG29_8","AG29",2014-09-01,2014,9,1,"Malua",0.463084528,0.463084528,0.362235271,0.362235271,0,0.100849257,0.100849257,0.100849257
"154","AG30_8","AG30",2014-07-15,2014,7,15,"Malua",0.259753185,0.015041799,0.173552946,0,0,0,0.086200239,0.015041799
"155","AG31_8","AG31",2014-08-10,2014,8,10,"Malua",1.486830215,1.321026075,0.211942675,0.046138535,0,0,1.27488754,1.27488754
"156","AG32_8","AG32",2014-09-04,2014,9,4,"Malua",0.988484086,0.952365787,0,0,0,0.955119237,0.988484086,0.952365787
"157","AG33_8","AG33",2014-08-10,2014,8,10,"Malua",0.205354299,0.021218153,0,0,0,0,0.205354299,0.021218153
"158","AG34_8","AG34",2014-08-10,2014,8,10,"Malua",0.192028264,0,0,0,0,0,0.192028264,0
"159","AG35_8","AG35",2014-08-11,2014,8,11,"Malua",0.088965963,0.034626791,0,0,0,0,0.088965963,0.034626791
"160","AG36_8","AG36",2014-09-01,2014,9,1,"Malua",0.706185311,0.640102508,0.154458599,0.088375796,0,0,0.551726712,0.551726712
"161","AG37_8","AG37",2014-09-02,2014,9,2,"Malua",0.698351247,0.605337712,0,0,0,0.282676486,0.698351247,0.605337712
"162","AG38_8","AG38",2014-09-02,2014,9,2,"Malua",1.380583201,1.378284236,0,0,1.378284236,0,1.380583201,1.378284236
"163","AG39_8","AG39",2014-09-02,2014,9,2,"Malua",0.103397975,0.097816197,0,0,0,0.100511829,0.103397975,0.097816197
"164","AG40_8","AG40",2014-09-04,2014,9,4,"Malua",0,0,0,0,0,0,0,0
"165","AG41_8","AG41",2014-09-01,2014,9,1,"Malua",0.048815685,0.026124602,0,0,0,0,0.048815685,0.026124602
"166","AG42_8","AG42",2014-09-01,2014,9,1,"Malua",2.211683917,0.291301752,1.920382166,0,0,0.238853503,0.291301751,0.291301752
"167","AG43_8","AG43",2014-07-28,2014,7,28,"Danum",1.146853105,0.314637739,0,0,0,0.033121019,1.146853105,0.314637739
"168","AG44_8","AG44",2014-09-19,2014,9,19,"Danum",0.00218949,0.00218949,0,0,0,0,0.00218949,0.00218949
"169","AG01_9","AG01",2014-08-25,2014,8,25,"Danum",98.541806,98.22200106,62.11113323,62.10436571,0,0,36.43067277,36.11763535
"170","AG02_9","AG02",2014-08-24,2014,8,24,"Danum",6.16983811,6.16983811,6.155387473,6.155387473,0,0,0.0144506369999995,0.0144506369999995
"171","AG03_9","AG03",2014-08-24,2014,8,24,"Danum",14.48183718,14.27149682,0,0,0,0.017267118,14.48183718,14.27149682
"172","AG04_9","AG04",2014-08-15,2014,8,15,"Danum",1.161740313,1.082354697,1.084411492,1.068322054,0,0,0.0773288209999998,0.014032643
"173","AG05_9","AG05",2014-08-17,2014,8,17,"Danum",3.741699841,3.160887739,0,0,0.580812102,0.004836783,3.741699841,3.160887739
"174","AG06_9","AG06",2014-08-17,2014,8,17,"Danum",14.42338774,8.396997744,12.1408539,6.578884687,0,0,2.28253384,1.818113057
"175","AG07_9","AG07",2014-08-05,2014,8,5,"Danum",0.487165605,0.477014331,0.280374204,0.27022293,0,0,0.206791401,0.206791401
"176","AG08_9","AG08",2014-08-06,2014,8,6,"Danum",22.780834,22.780834,22.68062301,22.68062301,0,0,0.100210989999997,0.100210989999997
"177","AG09_9","AG09",2014-08-22,2014,8,22,"Danum",26.44463177,26.36428145,26.36428145,26.36428145,0,0,0.0803503200000009,0
"178","AG10_9","AG10",2014-08-22,2014,8,22,"Danum",1.728791136,1.597284368,1.502499337,1.499354432,0.02866242,0,0.226291799,0.0979299359999999
"179","AG11_9","AG11",2014-08-22,2014,8,22,"Danum",11.21136213,11.15964371,11.01535297,10.97438296,0,0,0.196009159999999,0.185260749999999
"180","AG13_9","AG13",2014-08-16,2014,8,16,"Danum",0.135821391,0.10901672,0,0,0,0,0.135821391,0.10901672
"181","AG14_9","AG14",2014-08-06,2014,8,6,"Danum",0.523444084,0.469845358,0.189669586,0.189669586,0,0.093109076,0.333774498,0.280175772
"182","AG15_9","AG15",2014-08-23,2014,8,23,"Danum",1.62388535,1.62388535,0.790207006,0.790207006,0,0.731488854,0.833678344,0.833678344
"183","AG16_9","AG16",2014-08-15,2014,8,15,"Danum",11.03893312,0.053960987,0,0,0.016520701,0,11.03893312,0.053960987
"184","AG17_9","AG17",2014-08-17,2014,8,17,"Danum",9.746058917,9.746058917,9.746058917,9.746058917,0,0,0,0
"185","AG19_9","AG19",2014-08-16,2014,8,16,"Danum",3.854647691,2.458101115,3.854647691,2.458101115,0,0,0,0
"186","AG20_9","AG20",2014-08-16,2014,8,16,"Danum",0.198381104,0,0,0,0,0,0.198381104,0
"187","AG21_9","AG21",2014-07-31,2014,7,31,"Danum",0.112396994,0.009749701,0.101552548,0,0,0.009749701,0.010844446,0.009749701
"188","AG22_9","AG22",2014-08-15,2014,8,15,"Danum",0.748308121,0.725915605,0.128184713,0.128184713,0,0.011146497,0.620123408,0.597730892
"189","AG23_9","AG23",2014-09-14,2014,9,14,"Malua",0,0,0,0,0,0,0,0
"190","AG24_9","AG24",2014-09-06,2014,9,6,"Malua",0.223470674,0.168860801,0.009156051,0.009156051,0,0.049583333,0.214314623,0.15970475
"191","AG25_9","AG25",2014-09-04,2014,9,4,"Malua",4.80991242,4.485071656,0.324840764,0,0,0,4.485071656,4.485071656
"192","AG26_9","AG26",2014-09-03,2014,9,3,"Malua",0,0,0,0,0,0,0,0
"193","AG27_9","AG27",2014-09-03,2014,9,3,"Malua",0,0,0,0,0,0,0,0
"194","AG28_9","AG28",2014-09-04,2014,9,4,"Malua",0.261007166,0.095740446,0,0,0,0,0.261007166,0.095740446
"195","AG29_9","AG29",2014-09-13,2014,9,13,"Malua",0,0,0,0,0,0,0,0
"196","AG30_9","AG30",2014-08-10,2014,8,10,"Malua",0.573687301,0.214605892,0.401199244,0.107285032,0,0.007201433,0.172488057,0.10732086
"197","AG31_9","AG31",2014-09-03,2014,9,3,"Malua",23.77364053,22.32340167,23.46536027,22.06010549,0,0,0.30828026,0.263296179999998
"198","AG32_9","AG32",2014-09-13,2014,9,13,"Malua",0,0,0,0,0,0,0,0
"199","AG33_9","AG33",2014-09-03,2014,9,3,"Malua",0.173789145,0.163797107,0,0,0,0.163797107,0.173789145,0.163797107
"200","AG34_9","AG34",2014-09-01,2014,9,1,"Malua",0,0,0,0,0,0,0,0
"201","AG35_9","AG35",2014-09-03,2014,9,3,"Malua",0.016570462,0,0,0,0,0,0.016570462,0
"202","AG36_9","AG36",2014-09-13,2014,9,13,"Malua",0,0,0,0,0,0,0,0
"203","AG37_9","AG37",2014-09-14,2014,9,14,"Malua",0,0,0,0,0,0,0,0
"204","AG38_9","AG38",2014-09-14,2014,9,14,"Malua",0.106886943,0.106886943,0,0,0,0,0.106886943,0.106886943
"205","AG39_9","AG39",2014-09-14,2014,9,14,"Malua",0,0,0,0,0,0,0,0
"206","AG40_9","AG40",2014-09-14,2014,9,14,"Malua",0,0,0,0,0,0,0,0
"207","AG41_9","AG41",2014-09-14,2014,9,14,"Malua",0.878781847,0.878781847,0,0,0,0,0.878781847,0.878781847
"208","AG42_9","AG42",2014-09-13,2014,9,13,"Malua",0,0,0,0,0,0,0,0
"209","AG43_9","AG43",2014-08-15,2014,8,15,"Danum",0.177415074,0,0,0,0,0,0.177415074,0
"210","AG01_10","AG01",2014-09-09,2014,9,9,"Danum",34.96105361,34.93866109,28.46612925,28.46612925,0,0,6.49492436,6.47253183999999
"211","AG02_10","AG02",2014-09-09,2014,9,9,"Danum",34.75660165,34.70883094,33.7859939,33.7859939,0,0.286624204,0.970607749999999,0.922837039999997
"212","AG03_10","AG03",2014-09-11,2014,9,11,"Danum",2.496184979,2.174396231,1.936969214,1.615180467,0,0,0.559215765,0.559215764
"213","AG04_10","AG04",2014-08-29,2014,8,29,"Danum",0.157140393,0.031841826,0,0,0,0,0.157140393,0.031841826
"214","AG05_10","AG05",2014-09-08,2014,9,8,"Danum",4.848958333,0,1.595740446,0,0,0,3.253217887,0
"215","AG06_10","AG06",2014-09-08,2014,9,8,"Danum",18.78920515,11.58303477,18.45554671,11.55367569,0,0,0.333658440000001,0.029359079999999
